source	target
926688202718695424	None
2855082453	764606346918518784
866387823817105409	774592682144464896
955927582238826498	84076180
66459857	None
1972110079	725179408865218560
173851898	2923397967
248907378	725179408865218560
3432959230	None
818240733102669824	871133532810125312
259138709	None
454071913	None
4834161413	85385808
705812872	37723058
90897488	871133532810125312
2691293724	2983501498
2507255092	None
114962636	774592682144464896
3037249293	2923397967
819692882466586624	368684658
4892720103	94199538
189248501	871133532810125312
33435237	None
834161073603358722	None
228577853	871133532810125312
101255538	3207443800
866037683143008256	514897990
93896674	None
721144622211342336	727657859425701889
715127286	None
2160792713	725523958146174977
1643750532	None
66096933	None
3824585836	123710016
256267168	57059339
2358185803	117820023
2339997280	None
2660837240	204485184
1972110079	204485184
1601975816	953703759829401601
4145610435	774592682144464896
2318353953	94199538
2976190647	871133532810125312
39088398	774592682144464896
287397663	None
1216599770	None
934116265324699649	None
266743222	745467130540232704
1170287227	894922013797646336
4819499224	774592682144464896
976302648	2571656740
847801669685587969	361849520
840922216204234752	2571656740
4266129508	178307421
1623331453	62052765
2962325092	774592682144464896
1965473114	871133532810125312
933768246867693568	None
91803597	774592682144464896
2160792713	59771262
384901069	None
751889081135689728	123710016
740528620410699776	774592682144464896
47691429	1571428436
2685619861	83001152
2806416231	749935955927265280
64357195	720997579266396162
2334575295	3318337402
2886212008	None
2962325092	774592682144464896
764606346918518784	None
189248501	871133532810125312
2377137219	871133532810125312
4387641640	94199538
776476600678412288	None
263865646	None
786312246410436608	361849520
714525581191282688	None
384901069	None
905612856581914624	2923397967
725523958146174977	66205927
4921364362	774592682144464896
84608593	949146687058030592
1288521704	101843145
707426251	None
869398370837770240	204485184
3045124835	1873654801
261299361	774592682144464896
3824585836	871133532810125312
1972110079	361849520
918397104007020544	None
4827649358	84076180
751889081135689728	774592682144464896
2157102134	None
806665746218618880	113242789
180640224	None
793211288772046848	None
2314876961	None
90897488	123710016
238973329	227092614
1589851855	227092614
347094736	227092614
3130848477	227092614
1553750851	227092614
436499017	227092614
533417739	227092614
771641352	227092614
705812872	83001152
600083336	749935955927265280
256267168	186240150
95806111	None
2685619861	294034676
497150491	2571656740
171548027	None
725523958146174977	2571656740
384901069	None
50065024	None
